2019-04-07 15:54:25 968  [main] INFO  com.bootdo.WebApplication - Starting WebApplication on DESKTOP-VV39TFA with PID 13744 (D:\test-workspace\bootdo-parent\web\target\classes started by 15257 in D:\test-workspace\bootdo-parent\web) 
2019-04-07 15:54:25 977  [main] INFO  com.bootdo.WebApplication - The following profiles are active: dev 
2019-04-07 15:54:25 1042 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b40ceb: startup date [Sun Apr 07 15:54:25 CST 2019]; root of context hierarchy 
2019-04-07 15:54:26 1988 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2019-04-07 15:54:26 2781 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8475da42] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:26 2880 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:26 2925 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'projectProperties' of type [com.bootdo.config.properties.ProjectProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:26 2934 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.bootdo.config.ShiroConfig$$EnhancerBySpringCGLIB$$8f63c032] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 3952 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 3960 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$b74a2b72] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 3992 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'druidDBConfig' of type [com.bootdo.config.DruidDBConfig$$EnhancerBySpringCGLIB$$8f6fa0e1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4292 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} inited 
2019-04-07 15:54:28 4293 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4330 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4340 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
